term,Topic,Freq,Term
4749,1,0.6863058492329143,성과연봉제
2750,1,0.23238841745527672,도입
8241,1,0.7205606183288811,철도파업
365,1,0.7287810803749549,24일째
6628,1,0.6118369371262523,의왕
4750,1,0.6491942590479536,성과중심
8908,1,0.17842682947913083,파업
6427,1,0.19424801074704845,위원장
3480,1,0.10239699817998753,문화
7302,1,0.9252840767489388,전국철도노동조합
6711,1,0.22699168387973154,이사회
9572,1,0.7151147490798488,홍기
8405,1,0.5071984531848825,최장기
6143,1,0.6997119880596923,오봉역
3699,1,0.15318699326150964,반대
6629,1,0.6052931439284093,의왕시
5727,1,0.523287091526684,양대
5970,1,0.5200003986426226,연대
2281,1,0.49048213229472565,내륙
6036,1,0.2219408833063312,열차
1393,1,0.20792874826885482,공공
5930,1,0.2240117656904758,역대
9529,1,0.303783154957352,형식
6966,1,0.30017167467546874,임종
3208,1,0.25401366582952906,맞은
1881,1,0.3094467241883082,금융위원장
381,1,0.154375527459485,27일
7915,1,0.0988586877756713,지난달
1871,1,0.41093361132357875,금융권
871,1,0.1100948117385669,간담회
2356,1,0.15699439716308827,노조
5264,1,0.08401791845292529,시행
9618,1,0.1132162295156282,확산
337,1,0.00844973681131059,20일
4748,1,0.08344146343337912,성과
1866,1,0.08761350583286276,금융
8998,1,0.04223247624969726,평가
6099,1,0.46700546047812963,예보
1938,1,0.03211627046494499,기록
1189,1,0.02542926254158832,경기
7569,1,0.10596158800842725,제도
1394,1,0.12667969165224488,공공기관
6017,1,0.010544025155099326,연합뉴스
2352,1,0.2399958419259703,노사
8006,1,0.07384180005989535,직원
4751,1,0.6427247154436657,성과평가
5242,1,0.022998736882580577,시작
6153,1,0.012617445156192623,오전
5230,1,0.0618364290913104,시스템
6090,1,0.5328652741763046,예금보험공사
8665,2,0.41385163588241836,코엑스
4481,2,0.5364977664764642,삼성동
929,2,0.08756452503825725,강남구
3274,2,0.6394940150403852,메디컬
9545,2,0.8204690207475202,호스
4627,2,0.008774404850136223,서울
8969,2,0.639127097834461,페어
8653,2,0.0904624870106529,코리아
304,2,0.004412760872352276,2016
2359,2,0.055535203015127564,노컷뉴스
8528,2,0.2883436916641745,취업박람회
8650,2,0.3109501560985153,코넥스
8660,2,0.11102745784939662,코스닥
