term,Category,Freq,Term,Total,loglift,logprob
1985,Default,0.99,기자,27189,25.0,25.0
3424,Default,0.99,무단,21575,21.90279157012027,21.90279157012027
337,Default,0.99,20일,20858,21.507227187465517,21.507227187465517
7204,Default,0.99,재배포,20443,21.27827430210747,21.27827430210747
1890,Default,0.99,금지,19890,20.973187686196624,20.973187686196624
4627,Default,0.99,서울,17110,19.43947920114752,19.43947920114752
4418,Default,0.99,사진,12875,17.103056383096103,17.103056383096103
7914,Default,0.99,지난,12552,16.924859318106588,16.924859318106588
304,Default,0.99,2016,11149,16.150833057486484,16.150833057486484
1121,Default,0.99,것으로,10447,15.763544080326604,15.763544080326604
2434,Default,0.99,뉴시스,9950,15.489352311596601,15.489352311596601
2681,Default,0.99,대한,9054,14.995034756703078,14.995034756703078
9325,Default,0.99,함께,7946,14.383758137482069,14.383758137482069
8048,Default,0.99,진행,7842,14.326381992717643,14.326381992717643
2667,Default,0.99,대표,7727,14.26293721725698,14.26293721725698
6170,Default,0.99,오후,7695,14.245283018867925,14.245283018867925
7249,Default,0.99,저작권자,7556,14.16859759461547,14.16859759461547
6701,Default,0.99,이번,7434,14.101290963257199,14.101290963257199
2965,Default,0.99,때문,6780,13.7404832836809,13.7404832836809
3530,Default,0.99,미국,6586,13.633454705947258,13.633454705947258
6658,Default,0.99,이날,6340,13.497738055831402,13.497738055831402
1511,Default,0.99,관련,6295,13.472911839346795,13.472911839346795
2430,Default,0.99,뉴스1,5964,13.290301224760013,13.290301224760013
7563,Default,0.99,제공,5715,13.152929493545184,13.152929493545184
2663,Default,0.99,대통령,5682,13.134723601456471,13.134723601456471
8161,Default,0.99,참석,5629,13.1054838353746,13.1054838353746
6117,Default,0.99,예정,5612,13.096105042480415,13.096105042480415
234,Default,0.99,19일,5573,13.074588988193755,13.074588988193755
6671,Default,0.99,이라고,5560,13.0674169700982,13.0674169700982
6153,Default,0.99,오전,5291,12.919011364890213,12.919011364890213
3786,Default,0.99,방송,5246,12.894185148405604,12.894185148405604
6283,Default,0.99,우리,5234,12.88756482400971,12.88756482400971
1244,Default,0.99,경찰,5198,12.867703850822023,12.867703850822023
6055,Default,0.99,영상,4974,12.744124462098643,12.744124462098643
4349,Default,0.99,사람,4919,12.713781308617456,12.713781308617456
1385,Default,0.99,공감,4751,12.62109676707492,12.62109676707492
8379,Default,0.99,최근,4726,12.607304424583472,12.607304424583472
9241,Default,0.99,한국,4698,12.591857000993048,12.591857000993048
6017,Default,0.99,연합뉴스,4688,12.58634006399647,12.58634006399647
2429,Default,0.99,뉴스,4682,12.583029901798522,12.583029901798522
3362,Default,0.99,모습,4622,12.549928279819044,12.549928279819044
1387,Default,0.99,공개,4575,12.523998675935122,12.523998675935122
5242,Default,0.99,시작,4459,12.4600022067748,12.4600022067748
6190,Default,0.99,올해,4388,12.420831954099084,12.420831954099084
837,Default,0.99,가장,4328,12.387730332119608,12.387730332119608
6793,Default,0.99,이후,4323,12.384971863621317,12.384971863621317
1222,Default,0.99,경우,4304,12.374489683327816,12.374489683327816
2990,Default,0.99,라고,4298,12.371179521129868,12.371179521129868
6712,Default,0.99,이상,4260,12.350215160542866,12.350215160542866
4351,Default,0.99,사랑,4248,12.343594836146972,12.343594836146972
4749,Topic1,321.1911374410039,성과연봉제,468,0.9978953959666574,0.041103513924029014
2750,Topic1,297.68956276020947,도입,1281,0.9849874523853435,0.02159653845098567
8241,Topic1,100.87848656604335,철도파업,140,0.9982137703055655,0.02146068488223021
365,Topic1,98.38544585061892,24일째,135,0.9982857489566606,0.021428626521128768
6628,Topic1,95.44656219169536,의왕,156,0.9970811908663707,0.019687793206701516
4750,Topic1,116.20577236958368,성과중심,179,0.9975128202885268,0.018032716875576622
8908,Topic1,181.99536606871345,파업,1020,0.9791957403928935,0.013176953722847261
6427,Topic1,139.8585677378749,위원장,720,0.9812194794054793,0.012056356727093792
3480,Topic1,156.76980421356092,문화,1531,0.9611247245304212,0.011606419122769489
7302,Topic1,34.235510839710734,전국철도노동조합,37,0.999627545734052,0.011149684156290944
6711,Topic1,177.0535134261906,이사회,780,0.9845296661634145,0.011101752288371392
9572,Topic1,32.895278457673044,홍기,46,0.9981651806764555,0.010765026455860572
8405,Topic1,62.89260819492544,최장기,124,0.9955367818824071,0.010582021460906452
6143,Topic1,41.98271928358154,오봉역,60,0.998023684908592,0.010388883983641068
3699,Topic1,150.42962738280247,반대,982,0.9751272625500014,0.010260577079058756
6629,Topic1,47.818158370344335,의왕시,79,0.9970001413324803,0.0102321609855992
5727,Topic1,52.328709152668395,양대,100,0.995814071478669,0.009734669279893379
5970,Topic1,76.96005899910814,연대,148,0.9957588072006897,0.009647207836953319
2281,Topic1,67.68653425667213,내륙,138,0.9952295849780679,0.009365441373345171
6036,Topic1,110.3046190032466,열차,497,0.984081468607512,0.008749791918240747
1393,Topic1,75.27020687332545,공공,362,0.9827265510604323,0.008603822123747875
5930,Topic1,94.53296512138078,역대,422,0.9842676293957975,0.008556230968627678
9529,Topic1,77.46470451412475,형식,255,0.9895357290202399,0.008531748453201156
6966,Topic1,49.22815464677687,임종,164,0.9893568197096542,0.008442277017319972
3208,Topic1,80.26831840213119,맞은,316,0.9866302017437629,0.008159785622656948
1881,Topic1,42.084754489609914,금융위원장,136,0.989808011526422,0.00806732040418336
381,Topic1,73.17400001579588,27일,474,0.9753478235959563,0.007683039960974455
7915,Topic1,108.54683917768709,지난달,1098,0.9596371548239611,0.007162862075748944
1871,Topic1,68.62591309103765,금융권,167,0.9934290811079506,0.007109235984535883
871,Topic1,56.03825917493055,간담회,509,0.9640440775125346,0.007077270209686798
2356,Topic1,89.01582319147106,노조,567,0.9758223695022508,0.006852859281238041
5264,Topic1,89.47908315236543,시행,1065,0.952104329290779,0.006625134133470708
9618,Topic1,90.57298361250255,확산,800,0.9651191824503,0.006470399319318606
337,Topic1,176.24461041031628,20일,20858,0.6487346528982767,0.006450745120930231
4748,Topic1,90.78431221551648,성과,1088,0.9517605177276101,0.005976786656229018
1866,Topic1,74.47147995793334,금융,850,0.9541518370705466,0.005815301982662321
8998,Topic1,107.9462092942262,평가,2556,0.9052698399894074,0.005755594206611348
6099,Topic1,36.42642591729411,예보,78,0.994761386244384,0.0055691039095158296
1938,Topic1,102.73994921735901,기록,3199,0.8779187256456342,0.005532612637426263
1189,Topic1,73.71943210806454,경기,2899,0.8497344320934566,0.005445487420081793
7569,Topic1,73.21945731382323,제도,691,0.9625270965975196,0.005390903708900444
